Nombre,NRC,Periodo
3313-2014-202542-G1,52733,202542
3313-2014-202542-G1,52737,202542
3313-2014-202542-G1,52732,202542
3313-2014-202542-G1,52734,202542
3313-2014-202542-G1,52735,202542
3313-2014-202542-G1,52736,202542
3313-2014-202542-G1,52731,202542
3313-2014-202542-G1,52740,202542
3313-2014-202542-G1,52738,202542
3313-2014-202542-G1,52739,202542
3313-2014-202542-G2,52729,202542
3313-2014-202542-G2,52721,202542
3313-2014-202542-G2,52725,202542
3313-2014-202542-G2,52728,202542
3313-2014-202542-G2,52726,202542
3313-2014-202542-G2,52727,202542
3313-2014-202542-G2,52730,202542
3313-2014-202542-G2,52720,202542
3313-2014-202542-G2,52722,202542
3313-2014-202542-G2,52724,202542
3313-2014-202542-G3,52716,202542													   
3313-2014-202542-G3,52717,202542
3313-2014-202542-G3,52718,202542
3313-2014-202542-G3,52711,202542
3313-2014-202542-G3,52713,202542
3313-2014-202542-G3,52714,202542
3313-2014-202542-G3,52715,202542
3313-2014-202542-G3,52712,202542
3313-2014-202542-G3,52719,202542
3313-2014-202542-G3,52723,202542

