Nombre,NRC,Periodo
5568-0086-202542-50781,50781,202542
6069-2016-202542-52009,52009,202542
8820-2038-202542-52421,52421,202542
8820-2039-202542-52423,52423,202542
5568-0074-202542-50757,50757,202542
5557-0044-202542-50424,50424,202542
3313-2006-202542-52434,52434,202542
3313-2006-202542-FV,FV,202542
6069-2107-202542-52194,52194,202542
8827-2025-202542-52206,52206,202542
6069-2009-202542-52015,52015,202542
5568-0086-202542-53570,53570,202542
3313-0049-202542-50227,50227,202542
3313-0049-202542-HV5,HV5,202542
5568-0077-202542-52581,52581,202542
5568-0074-202542-52030,52030,202542
6069-2166V-202542-AC12,AC12,202542
6069-2166V-202542-AC11,AC11,202542
6069-2166V-202542-DF7,DF7,202542
3313-2040-202542-53818,53818,202542
5568-0086-202542-53833,53833,202542
5568-0086-202542-51321,51321,202542
5568-0086-202542-50779,50779,202542
5557-0044-202542-50694,50694,202542
5556-2003-202542-50695,50695,202542
5556-2004-202542-50696,50696,202542
5569-2028-202542-50697,50697,202542
5569-2033-202542-50698,50698,202542
5556-2005-202542-50704,50704,202542
5556-2006-202542-50706,50706,202542
5569-2029-202542-50707,50707,202542
5569-2030-202542-50708,50708,202542
3313-2017-202542-50709,50709,202542
8827-2004-202542-50699,50699,202542
5568-0079-202542-50767,50767,202542
3313-2018-202542-50714,50714,202542
3313-2018-202542-50715,50715,202542
3313-2018-202542-50716,50716,202542
3313-2018-202542-50724,50724,202542
3313-2018-202542-50717,50717,202542
3313-2018-202542-50718,50718,202542
3313-2018-202542-50719,50719,202542
3313-2018-202542-50720,50720,202542
3313-2018-202542-50726,50726,202542
3313-2018-202542-50721,50721,202542
3313-2018-202542-50722,50722,202542
3313-2018-202542-50723,50723,202542
3313-2018-202542-50727,50727,202542
3313-2018-202542-50725,50725,202542
3313-2018-202542-50734,50734,202542
3313-2018-202542-50728,50728,202542
3313-2018-202542-50729,50729,202542
3313-2018-202542-50730,50730,202542
3313-2018-202542-50731,50731,202542
3313-2018-202542-50732,50732,202542
3313-2018-202542-50733,50733,202542
3313-2018-202542-50735,50735,202542
3313-2018-202542-50736,50736,202542
3313-2018-202542-50737,50737,202542
3313-2018-202542-50738,50738,202542
3313-2018-202542-50739,50739,202542
5569-2031-202542-50711,50711,202542
5569-2032-202542-50712,50712,202542
5557-2001-202542-50713,50713,202542
5568-0086-202542-50784,50784,202542
5556-2008-202542-50702,50702,202542
5557-0044-202542-52225,52225,202542
5568-0074-202542-50756,50756,202542
2026-2003-202542-50673,50673,202542
2026-2004-202542-50674,50674,202542
2026-2007-202542-50677,50677,202542
2026-2008-202542-50678,50678,202542
2026-2005-202542-50675,50675,202542
